Value,en,km,Disaggregation combinations using this value,Number of indicators
KH_AGG_KH02_KH24,Battambang and Pailin,KH_AGG_KH02_KH24,6,6
KH_AGG_KH07_KH18_KH23,"Kampot, Preah Sihanouk and Kep",KH_AGG_KH07_KH18_KH23,6,6
KH_AGG_KH07_KH23,Kampot and Kep,KH_AGG_KH07_KH23,6,6
KH_AGG_KH10_KH13_KH19,"Kratie, Preah Vihear and Stung Treng",KH_AGG_KH10_KH13_KH19,6,6
KH_AGG_KH11_KH16,Mondul Kiri and Ratanak Kiri,KH_AGG_KH11_KH16,6,6
KH_AGG_KH13_KH19,Preah Vihear and Stung Treng,KH_AGG_KH13_KH19,6,6
KH_AGG_KH22_KH17,Otdar Meanchey and Siem Reap,KH_AGG_KH22_KH17,6,6
KH_KH09_KH18,Koh Kong and Preah Sihanouk,KH_KH09_KH18,6,6
KH,Cambodia,KH,276,138
KH01,Banteay Meanchey,KH01,18,12
KH02,Battambang,KH02,13,7
KH03,Kampong Cham,KH03,18,12
KH04,Kampong Chhnang,KH04,18,12
KH05,Kampong Speu,KH05,18,12
KH06,Kampong Thom,KH06,18,12
KH07,Kampot,KH07,13,7
KH08,Kandal,KH08,18,12
KH09,Koh Kong,KH09,18,12
KH10,Kratie,KH10,18,12
KH11,Mondul Kiri,KH11,13,7
KH12,Phnom Penh,KH12,19,13
KH13,Preah Vihear,KH13,13,7
KH14,Prey Veng,KH14,18,12
KH15,Pursat,KH15,18,12
KH16,Ratanak Kiri,KH16,13,7
KH17,Siemreap,KH17,18,12
KH18,Preah Sihanouk,KH18,13,7
KH19,Stung Treng,KH19,13,7
KH20,Svay Rieng,KH20,18,12
KH21,Takeo,KH21,18,12
KH22,Oddar Meanchey,KH22,18,12
KH23,Kep,KH23,13,7
KH24,Pailin,KH24,13,7
KH25,Tboung Khmum,KH25,7,3
