Year,SERIES,Value
1993,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,5.0
1998,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,3.93
2003,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,7.5
2008,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,15.1
2013,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,17.58
2018,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,16.87
1993,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,0.0
1998,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,6.0
2003,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,6.6
2008,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,8.0
2013,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,20.54
2018,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,16.36
