Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
1993,EG_ACS_ELEC,KH,,PT,9.5
1996,EG_ACS_ELEC,KH,,PT,11.9
1997,EG_ACS_ELEC,KH,,PT,9.0
1999,EG_ACS_ELEC,KH,,PT,10.6
2004,EG_ACS_ELEC,KH,,PT,14.177744
2007,EG_ACS_ELEC,KH,,PT,20.2
2008,EG_ACS_ELEC,KH,,PT,24.2
2009,EG_ACS_ELEC,KH,,PT,25.6
2010,EG_ACS_ELEC,KH,,PT,32.5
2011,EG_ACS_ELEC,KH,,PT,37.4
2012,EG_ACS_ELEC,KH,,PT,42.3
2013,EG_ACS_ELEC,KH,,PT,50.948558
2014,EG_ACS_ELEC,KH,,PT,59.8
2015,EG_ACS_ELEC,KH,,PT,67.4
2016,EG_ACS_ELEC,KH,,PT,80.928907
2017,EG_ACS_ELEC,KH,,PT,85.9
2019,EG_ACS_ELEC,KH,,PT,85.77
1993,EG_ACS_ELEC,KH,U,PT,30.2
1996,EG_ACS_ELEC,KH,U,PT,29.3
1997,EG_ACS_ELEC,KH,U,PT,22.3
1999,EG_ACS_ELEC,KH,U,PT,24.4
2004,EG_ACS_ELEC,KH,U,PT,44.014684
2007,EG_ACS_ELEC,KH,U,PT,56.0
2008,EG_ACS_ELEC,KH,U,PT,62.1
2009,EG_ACS_ELEC,KH,U,PT,76.7
2010,EG_ACS_ELEC,KH,U,PT,78.1
2011,EG_ACS_ELEC,KH,U,PT,80.9
2012,EG_ACS_ELEC,KH,U,PT,87.0
2013,EG_ACS_ELEC,KH,U,PT,94.296733
2014,EG_ACS_ELEC,KH,U,PT,91.8
2015,EG_ACS_ELEC,KH,U,PT,94.3
2016,EG_ACS_ELEC,KH,U,PT,93.366283
2017,EG_ACS_ELEC,KH,U,PT,96.6
2019,EG_ACS_ELEC,KH,U,PT,96.78
1993,EG_ACS_ELEC,KH,R,PT,3.0
1996,EG_ACS_ELEC,KH,R,PT,5.3
1997,EG_ACS_ELEC,KH,R,PT,2.2
1999,EG_ACS_ELEC,KH,R,PT,2.4
2004,EG_ACS_ELEC,KH,R,PT,2.267038
2007,EG_ACS_ELEC,KH,R,PT,10.3
2008,EG_ACS_ELEC,KH,R,PT,11.3
2009,EG_ACS_ELEC,KH,R,PT,11.5
2010,EG_ACS_ELEC,KH,R,PT,18.8
2011,EG_ACS_ELEC,KH,R,PT,24.0
2012,EG_ACS_ELEC,KH,R,PT,26.8
2013,EG_ACS_ELEC,KH,R,PT,37.911397
2014,EG_ACS_ELEC,KH,R,PT,48.3
2015,EG_ACS_ELEC,KH,R,PT,63.3
2016,EG_ACS_ELEC,KH,R,PT,76.448811
2017,EG_ACS_ELEC,KH,R,PT,82.4
2019,EG_ACS_ELEC,KH,R,PT,79.09
